Title	Assignees	Status	Priority	Estimate	Size	Iteration
Ver detalles del producto		Done	P1	5		Iteration 3
Ver reseñas y calificaciones		In progress	P2	5		Iteration 6
Tener una barra de búsqueda (SearchBar)		In review	P0	5		Iteration 3
Filtrar los productos por categoría en un menú lateral		Backlog	P0	5		Iteration 5
Filtrar los productos por precio, para ver los productos dentro de un rango específico.		Backlog	P0	3		Iteration 5
Filtrar productos por categoría		Backlog	P0	3		Iteration 5
Combinar varios filtros (categoría, precio, disponibilidad, etc.)		Backlog	P0	8		Iteration 5
Paginador de productos		Ready	P1	3		Iteration 5
Buscar productos por nombre		Ready	P0	3		Iteration 5
Sugerir productos a medida que se escribe		Ready	P0	3		Iteration 5
Ordenar productos por precio o popularidad		Ready	P1	3		Iteration 6
Montar los entornos de desarrollo		Done	P0			Iteration 3
Ver productos recomendados		Backlog	P2	5		Iteration 6
Eliminar un producto de la página		Backlog	P2	3		Iteration 3
Editar la informacion de un producto		Backlog	P2	3		Iteration 3
Añadir un producto a la venta		Backlog	P2	3		Iteration 3
Ver imágenes ampliadas		Backlog	P1	3		Iteration 3
Ver todos los productos		Done	P0	3		Iteration 3
Diseño de estructura (diagrama) de la base de datos		Done	P0	1		Iteration 3
